emotion_label	emotion_clause	cause_clause
['ANGER', 'SADNESS']	['249', '257', '249', '257']	['261', '263', '261', '263']
['SADNESS', 'DISGUST', 'DISGUST', 'OTHER']	['139', '147', '162', '173', '209', '215', '209', '215']	['148', '153', '174', '180', '216', '234', '216', '234']
['JOY', 'TRUST', 'SADNESS']	['157', '162', '157', '162', '227', '234']	['163', '166', '163', '166', '241', '369']
['SADNESS']	['120', '129']	['133', '157']
['OTHER']	['182', '188']	['190', '243']
['DISGUST']	['160', '168']	['149', '151']
['DISGUST']	['322', '329']	['330', '346']
['JOY', 'JOY', 'OTHER']	['329', '332', '297', '303', '297', '303']	['93', '259', '93', '259', '235', '259']
['SURPRISE']	['368', '380']	['440', '472']
['SURPRISE', 'OTHER']	['210', '221', '210', '221']	['248', '308', '228', '241']
['OTHER']	['71', '80']	['108', '109']
['TRUST', 'JOY', 'JOY', 'TRUST', 'JOY']	['121', '126', '121', '126', '232', '235', '262', '268', '262', '268']	['130', '146', '130', '146', '130', '146', '278', '309', '278', '309']
['DISGUST', 'JOY', 'TRUST']	['147', '154', '229', '235', '205', '212']	['155', '167', '155', '167', '155', '167']
['FEAR']	['252', '256']	['257', '364']
['TRUST', 'TRUST', 'TRUST', 'ANGER']	['108', '112', '113', '129', '137', '141', '160', '168']	['113', '129', '113', '115', '148', '207', '172', '182']
['FEAR', 'SADNESS', 'OTHER', 'OTHER', 'FEAR', 'OTHER', 'OTHER', 'SADNESS']	['126', '134', '150', '157', '150', '157', '150', '157', '150', '157', '126', '134', '126', '134', '126', '134']	['87', '88', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125']
['SURPRISE', 'SADNESS', 'OTHER', 'ANGER']	['130', '145', '130', '134', '130', '134', '138', '145']	['146', '155', '146', '155', '146', '155', '146', '155']
['DISGUST', 'TRUST']	['72', '78', '109', '119']	['99', '124', '79', '83']
['DISGUST']	['108', '114']	['115', '119']
